"降雨量
（毫米）",死亡失踪（人）,"万人死亡
失踪（率）",倒损房（间）,倒损房（率）,转移安置率,"农作物（公顷）
","工矿商贸
（万元）","公共服务
（万元）","道路损毁
（千米）"
550.8374857,77,0.098058942,44358.70813,564.9049354,554.8862644,9466.665,119529.67,31297.73,183.3173729
564.6252625,80,0.109568778,40742.99389,558.0200085,192.6835448,5074.64,69693.78,27469.09,325.2757891
399.0753052,0,0,61381.57459,982.5327917,677.8149851,38463.5,102674.94,104815.84,135.2805631
633.3909476,55,0.066583458,21939.61519,265.6028065,648.8860588,8977.77,178702.61,0,243.4591926
709.241324,4,0.008388083,15234.08557,319.4619373,1050.95341,17759.285,278372.59,79244.86,176.0300041
724.6407014,0,0,15534.62149,592.239566,1219.54381,10359.38,43496.86,15915.84,191.8021267
624.9814467,0,0,18426.02307,217.9078117,781.6750001,25828.73,224765.04,8621.38,263.558633
725.7079544,25,0.023556837,4418.8,41.63718136,731.8826719,143.13,267553.43,12149.48,169.5562252
692.7741386,2,0.01261034,1049.3,66.16015132,1292.78058,939.99,266978.34,4933.8,54.04352699
613.7513007,0,0,20702.89058,1331.8124,277.7116611,2736,24748.4,21474.73,54.38917718
641.3132231,20,0.012364447,3581.1,22.13916061,15.35046098,24.15,98774.37,20984.6,370.0463946
641.3132231,16,0.016927634,58.5,0.618916631,437.1455777,1020.33,210583,129414.6,0
651.3196928,3,0.008800235,2786.7,81.74537988,532.1208566,1529.2,428744.35,4187.06,72.02587599
428.0784974,0,0,3313.8,47.16099036,636.028674,9084.74,17559.59,1781.72,445.6459699
654.759671,9,0.010983124,5417.5,66.11230366,20.84352832,460.77,91846.51,6678.05,274.3261019
514.6935819,13,0.01782453,6688.927147,91.71306274,147.7516412,8967.455,82718.21,6167.78,233.367078
530.3863163,0,0,10343.70937,416.1035208,394.8749925,6635.505,65836.51,8988.08,159.7814627
449.0196693,0,0,2620.7,57.5805913,747.7325459,17856.65,98341.5,13088.34,159.9289988
621.4109422,0,0,5927.688212,128.6446506,59.42098181,4676.65,8810.72,73792.18,182.5779978
663.2719268,7,0.007271654,102.3,1.06270036,49.35375768,0.67,107617.38,17138.44,244.8080043
510.3996057,2,0.00170614,3438.235758,29.3305514,54.54528393,5073.48,22644.7,4095.15,419.5795246
370.8424059,0,0,560.8,10.12585089,272.0600184,35070.165,21777.51,32687.64,143.531651
654.759671,9,0.027371264,106,3.223726628,333.1386932,333.455,97349.77,10786.14,0
616.339554,0,0,3948.820956,629.6654531,14.35109148,3362.87,33713.92,16941.93,37.32805133
602.8169856,0,0,298.1,7.487372437,11.60404584,19271.805,9204.19,2349.95,110.2359465
351.5035748,0,0,6435.2,76.62694732,236.4108982,30001.57,22763.81,203.99,137.8898988
663.2719268,6,0.010984987,0,0,71.75027462,38.6,78090.56,49769.82,0
621.4109422,0,0,843,105.375,616.625,1733.105,15862.51,22,0
496.2417813,0,0,450.2,6.807380761,20.65500249,18990.87,1848.76,811.62,198.5486364
576.0076571,0,0,1284.893032,36.85866414,5.70854848,13838.3,22166.26,0,126.7806333
620.3453602,4,0.007207181,831,14.97291902,30.66655616,335.95,54042.54,6939,129.3928555
563.8047057,0,0,743.1,61.63735899,473.4157266,1493.94,129278.92,6540.29,24.83216482
465.780174,0,0,500,6.129704548,51.58146377,7262.8,5348.74,10144.03,280.3595135
431.6929998,0,0,5985.5,70.78405866,0,11754.225,55373.3,3919.92,213.0561782
506.4572198,0,0,400,6.142506143,0,11346.095,3614.29,0,211.8750148
483.7833426,0,0,178.7,4.033240947,8.576561611,19618.13,0,0,141.580809
555.3449388,0,0,1239.4,45.52868226,296.9245915,4330.67,17643.28,1846.64,79.50202205
268.5949258,0,0,547,7.894972332,165.2098735,38505.245,1935.46,6499.73,72.91598475
543.5741414,2,0.010131764,3.6,0.182371745,131.9662207,151.22,9428.1,1856,45.94847898
256.6270761,0,0,418.6,3.580617789,136.9162892,4195.725,58532.08,762.66,144.3310034
213.2681123,0,0,91.6,1.342970663,128.8284194,12726.47,5875.32,112.89,54.60314943
360.1127753,0,0,6111.2,86.06923904,0,8612.7,222116.92,0,87.42734821
347.5653542,0,0,656.8,11.99829744,97.71451432,14004.4,4306.72,3297.16,95.15541487
221.7352075,0,0,3374.5,46.399868,23.40274865,4392.85,3519.9,6962.56,152.9186029
576.1975137,1,0.002329221,1422.5,33.13317557,36.56877725,1386.22,12699.52,525.7,113.291841
500.0419689,0,0,3002.3,104.6097561,139.7212544,8920.77,49954.71,7044.07,28.71359074
615.1769035,0,0,39.7,1.758972087,36.9073992,2946.7,20939.82,2459.13,36.30598659
503.2858836,0,0,448,21.64251208,584.7826087,1407.615,12810.16,1571.67,0
621.4109422,0,0,555,2.775,0,282.835,6884.32,6992.93,0
503.2858836,0,0,486,16.02786078,120.4398098,167.95,1929.27,1438.56,83.87496904
454.5881126,0,0,316.4,5.463641057,26.47206619,2333.4,70178.31,377.43,119.5081111
341.7529152,0,0,73.7,1.046084493,0,21107.73,1066.2,1969.04,92.78216714
469.6266924,0,0,142.2,13.25491,317.5305972,285.96,3374.83,5638.5,32.12597977
351.3414103,2,0.002052248,1751.579439,17.97337864,108.5587984,10832.84,5976.04,2898.27,102.2247984
388.0497807,0,0,11,0.185287187,0,13318,10420.61,17.6,93.42894154
576.1975137,0,0,174.5,15.86363636,0,78.5,2281.43,125,0
405.0234473,0,0,153.6,4.386816702,79.08265265,6569.8,9371.84,22293.65,70.21960526
511.4408534,0,0,16,0.460588056,78.18482247,242.73,1659.6,5771.72,38.42652995
439.4409614,0,0,1840.8,33.73702422,13.25068911,4091.07,1909.55,2473.79,87.53592794
510.3996057,0,0,381.5,6.139362729,33.63373029,1731.485,7970.09,1225.38,0
379.4116273,0,0,1233.2,11.11209228,19.97689636,3850.35,4733.5,169.84,136.2094609
506.4572198,0,0,87.5,0,0,3106.485,489.28,110.7,0
302.2765782,0,0,680.9,12.62745214,0,16049.375,2456.4,3533.6,88.0928915
448.901598,0,0,143.7,4.384278836,33.16430825,2963.99,19726.89,516.92,39.78194338
414.881299,0,0,209.3,5.314367837,4.545015971,3881.065,2625.41,2927.45,76.83358316
378.6853022,0,0,246.9,15.80210567,0,2460,341.3,40.57,126.644353
